YEAR,TEMPERATURE
1910-01-01,27.29
1910-02-01,26.99
1910-03-01,26.49
1910-04-01,26.19
1910-05-01,27.19
1910-06-01,27.49
1910-07-01,27.69
1910-08-01,27.99
1910-09-01,28.99
1910-10-01,28.29
1910-11-01,28.29
1910-12-01,27.79
1911-01-01,26.99
1911-02-01,27.39
1911-03-01,27.39
1911-04-01,27.29
1911-05-01,27.19
1911-06-01,26.99
1911-07-01,27.39
1911-08-01,28.29
1911-09-01,28.99
1911-10-01,29.09
1911-11-01,28.79
1911-12-01,28.29
1912-01-01,28.99
1912-02-01,28.79
1912-03-01,28.29
1912-04-01,27.99
1912-05-01,27.29
1912-06-01,28.09
1912-07-01,27.39
1912-08-01,28.79
1912-09-01,28.29
1912-10-01,29.29
1912-11-01,29.19
1912-12-01,27.49
1913-01-01,27.19
1913-02-01,28.09
1913-03-01,27.29
1913-04-01,27.59
1913-05-01,26.99
1913-06-01,27.59
1913-07-01,27.69
1913-08-01,27.69
1913-09-01,28.69
1913-10-01,28.69
1913-11-01,28.79
1913-12-01,28.49
1914-01-01,28.79
1914-02-01,27.69
1914-03-01,27.69
1914-04-01,27.59
1914-05-01,27.59
1914-06-01,27.49
1914-07-01,28.59
1914-08-01,28.39
1914-09-01,29.59
1914-10-01,29.09
1914-11-01,28.89
1914-12-01,28.79
1915-01-01,27.99
1915-02-01,27.69
1915-03-01,28.19
1915-04-01,27.89
1915-05-01,28.09
1915-06-01,27.19
1915-07-01,27.39
1915-08-01,28.39
1915-09-01,28.39
1915-10-01,28.79
1915-11-01,27.59
1915-12-01,27.59
1916-01-01,26.99
1916-02-01,26.89
1916-03-01,27.09
1916-04-01,27.19
1916-05-01,26.99
1916-06-01,26.49
1916-07-01,27.39
1916-08-01,28.19
1916-09-01,28.69
1916-10-01,28.09
1916-11-01,27.89
1916-12-01,27.19
1917-01-01,26.69
1917-02-01,26.59
1917-03-01,26.39
1917-04-01,26.19
1917-05-01,26.19
1917-06-01,26.59
1917-07-01,27.19
1917-08-01,27.29
1917-09-01,27.69
1917-10-01,27.69
1917-11-01,27.59
1917-12-01,26.49
1918-01-01,25.99
1918-02-01,26.29
1918-03-01,27.29
1918-04-01,26.79
1918-05-01,27.09
1918-06-01,27.29
1918-07-01,27.09
1918-08-01,27.59
1918-09-01,28.39
1918-10-01,28.59
1918-11-01,28.29
1918-12-01,27.69
1919-01-01,27.19
1919-02-01,27.49
1919-03-01,27.39
1919-04-01,26.59
1919-05-01,27.09
1919-06-01,27.99
1919-07-01,27.59
1919-08-01,27.49
1919-09-01,27.89
1919-10-01,27.99
1919-11-01,28.39
1919-12-01,27.29
1920-01-01,26.99
1920-02-01,26.69
1920-03-01,26.99
1920-04-01,26.99
1920-05-01,26.89
1920-06-01,26.89
1920-07-01,26.99
1920-08-01,27.49
1920-09-01,28.59
1920-10-01,29.29
1920-11-01,27.89
1920-12-01,26.89
1921-01-01,26.59
1921-02-01,26.39
1921-03-01,26.29
1921-04-01,26.39
1921-05-01,26.69
1921-06-01,26.69
1921-07-01,26.09
1921-08-01,27.59
1921-09-01,28.09
1921-10-01,28.39
1921-11-01,27.49
1921-12-01,27.69
1922-01-01,26.69
1922-02-01,26.19
1922-03-01,25.99
1922-04-01,26.49
1922-05-01,26.19
1922-06-01,26.69
1922-07-01,26.39
1922-08-01,27.39
1922-09-01,27.69
1922-10-01,27.69
1922-11-01,27.49
1922-12-01,26.79
1923-01-01,25.69
1923-02-01,26.49
1923-03-01,26.09
1923-04-01,26.09
1923-05-01,26.29
1923-06-01,26.79
1923-07-01,26.59
1923-08-01,27.69
1923-09-01,27.99
1923-10-01,28.99
1923-11-01,28.09
1923-12-01,27.19
1924-01-01,27.89
1924-02-01,27.69
1924-03-01,27.29
1924-04-01,27.19
1924-05-01,26.19
1924-06-01,25.99
1924-07-01,27.19
1924-08-01,27.39
1924-09-01,27.69
1924-10-01,27.29
1924-11-01,27.89
1924-12-01,26.69
1925-01-01,26.29
1925-02-01,25.99
1925-03-01,26.09
1925-04-01,26.89
1925-05-01,27.19
1925-06-01,27.19
1925-07-01,27.29
1925-08-01,27.89
1925-09-01,27.89
1925-10-01,29.09
1925-11-01,28.49
1925-12-01,28.49
1926-01-01,27.49
1926-02-01,27.49
1926-03-01,27.49
1926-04-01,26.99
1926-05-01,26.39
1926-06-01,26.39
1926-07-01,24.99
1926-08-01,28.09
1926-09-01,28.49
1926-10-01,27.29
1926-11-01,24.89
1926-12-01,26.59
1927-01-01,25.99
1927-02-01,25.69
1927-03-01,25.59
1927-04-01,26.09
1927-05-01,26.09
1927-06-01,26.29
1927-07-01,26.09
1927-08-01,26.49
1927-09-01,27.09
1927-10-01,26.89
1927-11-01,27.09
1927-12-01,27.29
1928-01-01,26.39
1928-02-01,25.89
1928-03-01,26.19
1928-04-01,26.29
1928-05-01,26.39
1928-06-01,26.99
1928-07-01,26.39
1928-08-01,26.89
1928-09-01,27.19
1928-10-01,27.49
1928-11-01,27.19
1928-12-01,26.79
1929-01-01,26.39
1929-02-01,26.29
1929-03-01,25.69
1929-04-01,25.69
1929-05-01,26.29
1929-06-01,25.49
1929-07-01,26.29
1929-08-01,27.09
1929-09-01,27.79
1929-10-01,28.09
1929-11-01,27.39
1929-12-01,25.89
1930-01-01,25.79
1930-02-01,25.89
1930-03-01,26.39
1930-04-01,26.09
1930-05-01,26.79
1930-06-01,26.79
1930-07-01,26.19
1930-08-01,27.49
1930-09-01,27.29
1930-10-01,27.59
1930-11-01,27.59
1930-12-01,26.89
1931-01-01,27.29
1931-02-01,27.74
1931-03-01,27.29
1931-04-01,27.34
1931-05-01,27.39
1931-06-01,27.49
1931-07-01,27.79
1931-08-01,28.34
1931-09-01,28.44
1931-10-01,28.94
1931-11-01,28.13
1931-12-01,27.34
1932-01-01,26.74
1932-02-01,27.14
1932-03-01,26.99
1932-04-01,27.54
1932-05-01,27.29
1932-06-01,27.24
1932-07-01,27.49
1932-08-01,28.45
1932-09-01,29.29
1932-10-01,29.07
1932-11-01,29.07
1932-12-01,27.61
1933-01-01,27.06
1933-02-01,26.81
1933-03-01,26.36
1933-04-01,26.46
1933-05-01,27.25
1933-06-01,26.76
1933-07-01,27.11
1933-08-01,28.31
1933-09-01,28.81
1933-10-01,27.66
1933-11-01,27.21
1933-12-01,26.6
1934-01-01,25.9
1934-02-01,26.05
1934-03-01,26.45
1934-04-01,26.3
1934-05-01,26.95
1934-06-01,27.1
1934-07-01,27.9
